accuracy,brier,dataset,delta_star,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.755,0.34965420348447696,pubmed,0.03688133417765299,False,0.05355079141259194,0.0,0.7508500339798303,full_method,0.628723680973053,27.042004200004158,1,clean
0.754,0.3572500960145021,pubmed,,,0.03766692331433294,0.15,0.7508968979068404,source_only,0.6435099840164185,0.0,1,edge_drop
0.753,0.40630563293745514,pubmed,,,0.16216438159346577,0.15,0.7493028759301289,tent,1.0358186960220337,2.3789921999996295,1,edge_drop
0.754,0.40273288235784044,pubmed,,,0.14601065975427624,0.15,0.7495562080253788,eata,0.9318171143531799,1.1648558000015328,1,edge_drop
0.757,0.3560093662649746,pubmed,,,0.040194507330656055,0.15,0.7534944493565184,matcha,0.6474096775054932,5.563375199999427,1,edge_drop
0.756,0.35554405936015354,pubmed,,,0.0546975023150444,0.15,0.7528143326114698,gtrans,0.648988664150238,7.845294800004922,1,edge_drop
0.755,0.35570507699539994,pubmed,0.03688133417765299,False,0.03941760808229448,0.15,0.7512515532644225,full_method,0.6475920677185059,24.338604399999895,1,edge_drop
0.77,0.3391098929811077,pubmed,,,0.0591964744925499,0.0,0.765993231385358,source_only,0.6001628637313843,0.0,2,clean
0.78,0.36725950383116346,pubmed,,,0.14384228214621542,0.0,0.7728390578566146,tent,0.8739786148071289,0.887461299993447,2,clean
0.77,0.36248926699773054,pubmed,,,0.12347226116061208,0.0,0.764771443075403,eata,0.795439600944519,1.019632299998193,2,clean
0.769,0.33719713306330684,pubmed,,,0.061490258872509015,0.0,0.7651570956903361,matcha,0.5993088483810425,3.41649519999919,2,clean
0.779,0.3315468432594703,pubmed,,,0.04668871513009071,0.0,0.7741900382293604,gtrans,0.5926089882850647,5.354465500000515,2,clean
0.769,0.33640568931770204,pubmed,0.03192886371612549,False,0.062429946362972256,0.0,0.7654744730969777,full_method,0.5981558561325073,13.309128100001544,2,clean
0.765,0.3486822105012953,pubmed,,,0.05299251112341879,0.15,0.7600557485223737,source_only,0.6258102655410767,0.0,2,edge_drop
0.769,0.3814443626659021,pubmed,,,0.14932811504602433,0.15,0.7621763429560148,tent,0.9461355209350586,0.6598816999976407,2,edge_drop
0.768,0.376959078181083,pubmed,,,0.13252944639325143,0.15,0.7612818988095146,eata,0.857568621635437,0.7968792999963625,2,edge_drop
0.766,0.3472989637296724,pubmed,,,0.049273879170417804,0.15,0.7606210068367322,matcha,0.6283575892448425,2.6169370999996318,2,edge_drop
0.771,0.34426190900969494,pubmed,,,0.042441368371248234,0.15,0.7644692815247849,gtrans,0.6240684390068054,4.199097199998505,2,edge_drop
0.766,0.346969274432088,pubmed,0.03192886371612549,False,0.0530003395974636,0.15,0.7606210068367322,full_method,0.6280859112739563,13.060924800003704,2,edge_drop
0.8787584869059166,0.23336352805869973,coauthor_cs,,,0.14790378488549671,0.0,0.775393493922568,source_only,0.5874229073524475,0.0,0,clean
0.9034917555771096,0.15333382122930247,coauthor_cs,,,0.04037688496214571,0.0,0.8068296699937518,tent,0.3822019100189209,0.31924309999885736,0,clean
0.8797284190106692,0.2012287944336849,coauthor_cs,,,0.07241971303720596,0.0,0.7725001670390056,eata,0.5095928907394409,0.5451442999983556,0,clean
