acc_delta,delta_self,delta_tolerance,final_acc,intensity,max_delta_t,max_phi_t,outcome,peak_step_delta,peak_step_phi,phi_tolerance,scenario,seed,shift,src_acc,steps,would_halt
0.0,0.000499,0.0009970730463663736,0.9515151515151515,0.35,0.004432,0.0,false_alarm,59,0,0.2,auto,4,edge_add,0.9515151515151515,60,True
0.0,0.000499,0.05,0.9515151515151515,0.35,0.004432,0.0,clean_no_halt,59,0,0.2,balanced,4,edge_add,0.9515151515151515,60,False
0.0,0.000499,0.02,0.9515151515151515,0.35,0.004432,0.0,clean_no_halt,59,0,0.1,safety,4,edge_add,0.9515151515151515,60,False
0.0,0.000499,0.0009970730463663736,0.9696969696969697,0.35,0.001028,0.0,false_alarm,59,0,0.2,auto,4,degree_shift,0.9696969696969697,60,True
0.0,0.000499,0.05,0.9696969696969697,0.35,0.001028,0.0,clean_no_halt,59,0,0.2,balanced,4,degree_shift,0.9696969696969697,60,False
0.0,0.000499,0.02,0.9696969696969697,0.35,0.001028,0.0,clean_no_halt,59,0,0.1,safety,4,degree_shift,0.9696969696969697,60,False
-0.00606,0.000499,0.0009970730463663736,0.8424242424242424,0.25,0.004058,0.00333,false_alarm,59,20,0.2,auto,4,homophily_shift,0.8484848484848485,60,True
-0.00606,0.000499,0.05,0.8424242424242424,0.25,0.004058,0.00333,clean_no_halt,59,20,0.2,balanced,4,homophily_shift,0.8484848484848485,60,False
-0.00606,0.000499,0.02,0.8424242424242424,0.25,0.004058,0.00333,clean_no_halt,59,20,0.1,safety,4,homophily_shift,0.8484848484848485,60,False
-0.04242,0.000499,0.0009970730463663736,0.6181818181818182,0.5,0.016459,0.07333,proxy_fires,59,59,0.2,auto,4,homophily_shift,0.6606060606060606,60,True
-0.04242,0.000499,0.05,0.6181818181818182,0.5,0.016459,0.07333,proxy_blind,59,59,0.2,balanced,4,homophily_shift,0.6606060606060606,60,False
-0.04242,0.000499,0.02,0.6181818181818182,0.5,0.016459,0.07333,proxy_blind,59,59,0.1,safety,4,homophily_shift,0.6606060606060606,60,False
