accuracy,brier,cov_r_e,ece,intensity,mean_reliability,method,regime,runtime_seconds,seed,selected_fraction,shift
0.9333333333333333,0.10327569629408545,-0.018751110070150307,0.04782206795432346,0.35,0.43754817205810814,no_degree_prior,in_envelope,0.5734935999789741,0,0.39999999999999986,edge_drop
0.9575757575757575,0.04329319802556593,-0.010668275826260636,0.04914212064309554,0.15,0.42597780993581286,full_method,in_envelope,0.635381400003098,0,0.39999999999999986,edge_add
0.9575757575757575,0.04347842166190956,-0.008004945304849279,0.05250580274697505,0.15,0.43391488913521736,no_confidence,in_envelope,0.633880000008503,0,0.39999999999999986,edge_add
0.9575757575757575,0.04313711327873608,-0.010750204489290972,0.05227159984184034,0.15,0.4228845015341219,no_neighborhood_agreement,in_envelope,0.4727988000086043,0,0.39999999999999986,edge_add
0.9575757575757575,0.04329605896574996,-0.010689703861516563,0.04914555025823188,0.15,0.4263311461065864,no_structural_stability,in_envelope,0.35723110000253655,0,0.39999999999999986,edge_add
0.9575757575757575,0.04329312368423667,-0.010668275826260636,0.049142087408990565,0.15,0.4259787365405858,no_source_consistency,in_envelope,0.6152194000023883,0,0.39999999999999986,edge_add
0.9575757575757575,0.04332327012487784,-0.010634773950990342,0.049133425951004034,0.15,0.4240883119353327,no_degree_prior,in_envelope,0.6390643999911845,0,0.39999999999999986,edge_add
0.9636363636363636,0.06176413740308794,-0.015505624011930888,0.04912585598049742,0.35,0.4127310991670629,full_method,in_envelope,0.6294126999855507,0,0.39999999999999986,edge_add
0.9636363636363636,0.06140635680616382,-0.013326636821718604,0.04333347262758197,0.35,0.4343020077137897,no_confidence,in_envelope,0.578755499998806,0,0.39999999999999986,edge_add
0.9575757575757575,0.06173925657824074,-0.015190169750757562,0.04298870996995406,0.35,0.4083566104848293,no_neighborhood_agreement,in_envelope,0.48515960000804625,0,0.39999999999999986,edge_add
0.9636363636363636,0.06176433214635311,-0.01552217994677981,0.04912708455866033,0.35,0.4130564867317232,no_structural_stability,in_envelope,0.32437560000107624,0,0.39999999999999986,edge_add
0.9636363636363636,0.06176399994797869,-0.015505624011930888,0.04912584803321144,0.35,0.412734549035803,no_source_consistency,in_envelope,0.6303056000033394,0,0.39999999999999986,edge_add
0.9575757575757575,0.06188016244942908,-0.01548241312301969,0.043113602291453966,0.35,0.4137168768533592,no_degree_prior,in_envelope,0.6051536000159103,0,0.39999999999999986,edge_add
0.9818181818181818,0.023516955740602166,-0.007034447376969682,0.02173501361500133,0.35,0.4406873537155858,full_method,in_envelope,0.5960609999892768,0,0.39999999999999986,degree_shift
0.9818181818181818,0.023577240630462258,-0.006367435945323021,0.021715800870548595,0.35,0.4442119520223388,no_confidence,in_envelope,0.6019059999962337,0,0.39999999999999986,degree_shift
0.9818181818181818,0.0234214831022421,-0.007182115539426998,0.021694781924739028,0.35,0.44894239669992525,no_neighborhood_agreement,in_envelope,0.41167300002416596,0,0.39999999999999986,degree_shift
0.9818181818181818,0.02351950370831017,-0.007035625784744514,0.021734619321245135,0.35,0.4408621118766943,no_structural_stability,in_envelope,0.34662689999095164,0,0.39999999999999986,degree_shift
0.9818181818181818,0.023516953327674606,-0.007034447376969682,0.021735011086319433,0.35,0.4406874600173293,no_source_consistency,in_envelope,0.5854203999915626,0,0.39999999999999986,degree_shift
0.9818181818181818,0.02354091446309168,-0.007033394389668191,0.02174571246811838,0.35,0.44244208616655784,no_degree_prior,in_envelope,0.5404623999784235,0,0.39999999999999986,degree_shift
0.793939393939394,0.2702368254392362,-0.03556843664054661,0.08358790531302945,0.25,0.4030137308392377,full_method,boundary,0.6171059999905992,0,0.39999999999999986,homophily_shift
0.793939393939394,0.27449866390479677,-0.025193350819218086,0.08981297630252257,0.25,0.4541243467923382,no_confidence,boundary,0.5992777999781538,0,0.39999999999999986,homophily_shift
0.793939393939394,0.2697604113152086,-0.03338144230487686,0.09204117005521605,0.25,0.3820195499941595,no_neighborhood_agreement,boundary,0.4656987000198569,0,0.39999999999999986,homophily_shift
0.793939393939394,0.27023549814520176,-0.03565979522300372,0.08361797730127973,0.25,0.4039210137100829,no_structural_stability,boundary,0.3719130999816116,0,0.39999999999999986,homophily_shift
0.793939393939394,0.27024421539382354,-0.035568436640546604,0.08360006303498242,0.25,0.40304786752254024,no_source_consistency,boundary,0.625289999996312,0,0.39999999999999986,homophily_shift
0.793939393939394,0.2703152301952945,-0.03525317402600218,0.08365275534716524,0.25,0.4051210146039923,no_degree_prior,boundary,0.5983096999989357,0,0.39999999999999986,homophily_shift
0.5818181818181818,0.5907646209101806,-0.02900557324615053,0.21197653214136758,0.5,0.4353795418795077,full_method,out_envelope,0.5904074000136461,0,0.39999999999999986,homophily_shift
0.5575757575757576,0.6410250564404981,0.005968504357441191,0.26492596467336027,0.5,0.44451428837516843,no_confidence,out_envelope,0.6054793000221252,0,0.39999999999999986,homophily_shift
0.6,0.5840873233503211,-0.03362875862131778,0.1868897430824511,0.5,0.428702440889216,no_neighborhood_agreement,out_envelope,0.40419880000990815,0,0.39999999999999986,homophily_shift
0.5818181818181818,0.591019100873657,-0.028456588086376768,0.2119989655234597,0.5,0.43436553270277656,no_structural_stability,out_envelope,0.3521566000126768,0,0.39999999999999986,homophily_shift
