assumption_holds,corr_r_e,corr_r_eg,cov_r_e,cov_r_eg,error_rate_bottom50_reliability,error_rate_top50_reliability,estimated_homophily,intensity,mean_reliability,seed,shift,spearman_r_e
True,-0.30462601183252236,-0.26188001604043903,-0.005425203556095972,-0.0009057617751988007,0.02666666666666667,0.0,0.7548301132578281,0.45,0.42557281059052077,3,feature_noise,-0.08602806697852197
True,-0.3363895932822086,-0.29646667367472973,-0.00778639495782108,-0.0014967068389863932,0.04,0.0,0.7594043887147336,0.15,0.42516874800485877,3,edge_drop,-0.11854087267636305
True,-0.43608898902581017,-0.42930021872432383,-0.014536679938553575,-0.0029302058226547308,0.08666666666666667,0.006666666666666667,0.7633196721311475,0.35,0.42470721751071333,3,edge_drop,-0.13633707041189344
True,-0.3238227174790804,-0.31679343818034367,-0.006615926559937586,-0.0014044975446718651,0.03333333333333333,0.0,0.7027809965237544,0.15,0.41830403934773663,3,edge_add,-0.043549817220191335
True,-0.34555013752420555,-0.2641270985927891,-0.009457149624574964,-0.0013602923831258563,0.05333333333333334,0.0,0.6441263573543929,0.35,0.41195880151486575,3,edge_add,-0.0864800720008
True,-0.2533156788186682,-0.24755161518157062,-0.00402573405584878,-0.0008810937571779236,0.02,0.0,0.7608261159227182,0.35,0.4211836142336523,3,degree_shift,-0.08806097845531616
True,-0.43560488379034956,-0.37971271252049343,-0.029151679410926473,-0.005704205330856628,0.2733333333333333,0.013333333333333334,0.5889407061958695,0.25,0.38954652604048723,3,homophily_shift,-0.2827004744497161
True,-0.29896753905288587,-0.1749638158881185,-0.030127372702842308,-0.0040969040626585,0.43333333333333335,0.22,0.46835443037974683,0.5,0.43164263439792944,3,homophily_shift,-0.18558072867476302
True,-0.4045354763816199,-0.3812566367693467,-0.009679970700041712,-0.002079327522572806,0.04666666666666667,0.0,0.7477031802120141,0.0,0.43522049458747913,4,clean,-0.13529972555250613
True,-0.3241280645710297,-0.3002159722642907,-0.006627439759172445,-0.0013867639457888882,0.03333333333333333,0.0,0.7498233215547703,0.2,0.42780401549750974,4,feature_noise,-0.11308925654729496
True,-0.27830566623933733,-0.2599554007644756,-0.005911217017311095,-0.0011630177480351732,0.03333333333333333,0.0,0.7491166077738516,0.45,0.4243042533151836,4,feature_noise,-0.06143712707918977
True,-0.3753729842648637,-0.33551159887701054,-0.009991798630239086,-0.0016724629221165537,0.05333333333333334,0.0,0.7506234413965087,0.15,0.4305307937364739,4,edge_drop,-0.09996199957777309
