delta_t,drift_high,drift_low,drift_mid,intensity,phi_t,seed,shift,step
0.007868945598602295,-0.004499614238739014,0.00961071252822876,0.009496510028839111,0.5,0.05333333333333334,1,homophily_shift,30
0.008096814155578613,-0.004493117332458496,0.009967505931854248,0.009829819202423096,0.5,0.05333333333333334,1,homophily_shift,31
0.008324662844340006,-0.004498481750488281,0.010324060916900635,0.010151445865631104,0.5,0.05333333333333334,1,homophily_shift,32
0.008551875750223795,-0.00452035665512085,0.010672330856323242,0.010462939739227295,0.5,0.05333333333333334,1,homophily_shift,33
0.008798221747080484,-0.004553496837615967,0.011077344417572021,0.010763823986053467,0.5,0.06,1,homophily_shift,34
0.009068707625071207,-0.00460505485534668,0.011543512344360352,0.011057555675506592,0.5,0.06,1,homophily_shift,35
0.009335676829020182,-0.004670262336730957,0.011998355388641357,0.011338412761688232,0.5,0.06,1,homophily_shift,36
0.009603401025136312,-0.004751861095428467,0.012449145317077637,0.011609196662902832,0.5,0.06,1,homophily_shift,37
0.009873449802398682,-0.004852294921875,0.012897372245788574,0.01187068223953247,0.5,0.06,1,homophily_shift,38
0.010139962037404379,-0.004964709281921387,0.013336360454559326,0.012118816375732422,0.5,0.06,1,homophily_shift,39
0.01040587822596232,-0.005098938941955566,0.013764500617980957,0.01235419511795044,0.5,0.06,1,homophily_shift,40
0.010664482911427816,-0.005203604698181152,0.014215648174285889,0.012574195861816406,0.5,0.06666666666666667,1,homophily_shift,41
0.010895093282063803,-0.005218386650085449,0.014684677124023438,0.01278221607208252,0.5,0.07,1,homophily_shift,42
0.011131008466084799,-0.005252361297607422,0.01515871286392212,0.012981951236724854,0.5,0.07,1,homophily_shift,43
0.01136314868927002,-0.00529855489730835,0.015622973442077637,0.013167917728424072,0.5,0.07,1,homophily_shift,44
0.0115926464398702,-0.005361378192901611,0.01607656478881836,0.013339996337890625,0.5,0.07,1,homophily_shift,45
0.011823256810506185,-0.005446314811706543,0.016524195671081543,0.013499259948730469,0.5,0.07,1,homophily_shift,46
0.01205118497212728,-0.0055457353591918945,0.016963064670562744,0.013644754886627197,0.5,0.07,1,homophily_shift,47
0.012276152769724527,-0.005660891532897949,0.017391324043273926,0.013776242733001709,0.5,0.07,1,homophily_shift,48
0.012497742970784506,-0.005788028240203857,0.017811477184295654,0.013893723487854004,0.5,0.07,1,homophily_shift,49
0.012715856234232584,-0.005933046340942383,0.01821744441986084,0.013997077941894531,0.5,0.07,1,homophily_shift,50
0.012928744157155355,-0.006060481071472168,0.018614590167999268,0.014111161231994629,0.5,0.07666666666666666,1,homophily_shift,51
0.013171017169952393,-0.006158649921417236,0.019004762172698975,0.014349639415740967,0.5,0.07666666666666666,1,homophily_shift,52
0.013425052165985107,-0.006274521350860596,0.01938486099243164,0.014615774154663086,0.5,0.08,1,homophily_shift,53
0.013680875301361084,-0.006408572196960449,0.019756317138671875,0.014877736568450928,0.5,0.08,1,homophily_shift,54
0.013932128747304281,-0.006554722785949707,0.02011805772781372,0.015123605728149414,0.5,0.08,1,homophily_shift,55
0.014188329378763834,-0.006728470325469971,0.020474672317504883,0.01536184549331665,0.5,0.08,1,homophily_shift,56
0.014420787493387857,-0.006869196891784668,0.020812928676605225,0.015580236911773682,0.5,0.08333333333333333,1,homophily_shift,57
0.014624834060668945,-0.006945312023162842,0.021145224571228027,0.015783965587615967,0.5,0.09,1,homophily_shift,58
0.014789124329884848,-0.0069220662117004395,0.02146756649017334,0.01597774028778076,0.5,0.09,1,homophily_shift,59
0.0,0.0,0.0,0.0,0.45,0.0,2,feature_noise,0
1.0669231414794922e-05,6.079673767089844e-06,9.715557098388672e-06,1.621246337890625e-05,0.45,0.0,2,feature_noise,1
2.11795171101888e-05,1.2040138244628906e-05,1.9252300262451172e-05,3.224611282348633e-05,0.45,0.0,2,feature_noise,2
3.147125244140625e-05,1.7821788787841797e-05,2.8431415557861328e-05,4.8160552978515625e-05,0.45,0.0,2,feature_noise,3
4.192193349202474e-05,2.378225326538086e-05,3.802776336669922e-05,6.395578384399414e-05,0.45,0.0,2,feature_noise,4
5.245208740234375e-05,2.9861927032470703e-05,4.756450653076172e-05,7.992982864379883e-05,0.45,0.0,2,feature_noise,5
6.296237309773763e-05,3.5762786865234375e-05,5.704164505004883e-05,9.608268737792969e-05,0.45,0.0,2,feature_noise,6
7.339318593343099e-05,4.1425228118896484e-05,6.687641143798828e-05,0.0001118779182434082,0.45,0.0,2,feature_noise,7
8.356571197509766e-05,4.7087669372558594e-05,7.617473602294922e-05,0.00012743473052978516,0.45,0.0,2,feature_noise,8
9.342034657796224e-05,5.263090133666992e-05,8.535385131835938e-05,0.00014227628707885742,0.45,0.0,2,feature_noise,9
0.000103453795115153,5.817413330078125e-05,9.453296661376953e-05,0.0001576542854309082,0.45,0.0,2,feature_noise,10
0.0001135865847269694,6.395578384399414e-05,0.00010371208190917969,0.00017309188842773438,0.45,0.0,2,feature_noise,11
0.00012344121932983398,6.949901580810547e-05,0.00011259317398071289,0.0001882314682006836,0.45,0.0,2,feature_noise,12
0.00013355414072672525,7.50422477722168e-05,0.00012177228927612305,0.00020384788513183594,0.45,0.0,2,feature_noise,13
0.00014340877532958984,8.064508438110352e-05,0.00013047456741333008,0.00021910667419433594,0.45,0.0,2,feature_noise,14
0.0001531839370727539,8.618831634521484e-05,0.00013935565948486328,0.0002340078353881836,0.45,0.0,2,feature_noise,15
0.00016307830810546875,9.161233901977539e-05,0.00014841556549072266,0.0002492070198059082,0.45,0.0,2,feature_noise,16
0.00017273426055908203,9.709596633911133e-05,0.0001571178436279297,0.0002639889717102051,0.45,0.0,2,feature_noise,17
0.00018227100372314453,0.0001023411750793457,0.00016576051712036133,0.00027871131896972656,0.45,0.0,2,feature_noise,18
0.00019194682439168295,0.00010770559310913086,0.00017446279525756836,0.0002936720848083496,0.45,0.0,2,feature_noise,19
0.00020180145899454752,0.00011324882507324219,0.00018322467803955078,0.0003089308738708496,0.45,0.0,2,feature_noise,20
0.00021167596181233725,0.0001188516616821289,0.00019174814224243164,0.00032442808151245117,0.45,0.0,2,feature_noise,21
0.00022133191426595053,0.0001239180564880371,0.00020104646682739258,0.0003390312194824219,0.45,0.0,2,feature_noise,22
