accuracy,decile,deg_hi,deg_lo,ece,intensity,mean_reliability,method,n_decile,seed,selected_fraction,shift
1.0,9,20.0,13.0,0.003176450729370117,0.0,0.4356412557615478,no_degree_prior,15,4,0.39999999999999986,clean
0.9583333333333334,0,6.0,2.0,0.05890926967064544,0.45,1.0,source_only,24,4,1.0,feature_noise
0.9583333333333334,0,6.0,2.0,0.059118968745072734,0.45,0.425771119888885,full_method,24,4,0.39999999999999986,feature_noise
0.9583333333333334,0,6.0,2.0,0.05913757532835011,0.45,0.43030014214454154,no_degree_prior,24,4,0.39999999999999986,feature_noise
0.9523809523809523,1,7.0,6.0,0.04815326418195452,0.45,1.0,source_only,21,4,1.0,feature_noise
0.9523809523809523,1,7.0,6.0,0.05381240163530623,0.45,0.425771119888885,full_method,21,4,0.39999999999999986,feature_noise
0.9523809523809523,1,7.0,6.0,0.053800906453813815,0.45,0.43030014214454154,no_degree_prior,21,4,0.39999999999999986,feature_noise
1.0,2,8.0,7.0,0.0247856043279171,0.45,1.0,source_only,16,4,1.0,feature_noise
1.0,2,8.0,7.0,0.024376392364501953,0.45,0.425771119888885,full_method,16,4,0.39999999999999986,feature_noise
1.0,2,8.0,7.0,0.024370227009058,0.45,0.43030014214454154,no_degree_prior,16,4,0.39999999999999986,feature_noise
1.0,3,9.0,8.0,0.02153908169787863,0.45,1.0,source_only,23,4,1.0,feature_noise
1.0,3,9.0,8.0,0.020419776439666748,0.45,0.425771119888885,full_method,23,4,0.39999999999999986,feature_noise
1.0,3,9.0,8.0,0.020411105259605076,0.45,0.43030014214454154,no_degree_prior,23,4,0.39999999999999986,feature_noise
0.9545454545454546,5,10.0,9.0,0.03874039920893582,0.45,1.0,source_only,22,4,1.0,feature_noise
0.9545454545454546,5,10.0,9.0,0.039420566775582054,0.45,0.425771119888885,full_method,22,4,0.39999999999999986,feature_noise
0.9545454545454546,5,10.0,9.0,0.039417334578254005,0.45,0.43030014214454154,no_degree_prior,22,4,0.39999999999999986,feature_noise
1.0,6,11.0,10.0,0.025757504136938798,0.45,1.0,source_only,19,4,1.0,feature_noise
1.0,6,11.0,10.0,0.026626448882253545,0.45,0.425771119888885,full_method,19,4,0.39999999999999986,feature_noise
1.0,6,11.0,10.0,0.026631615663829603,0.45,0.43030014214454154,no_degree_prior,19,4,0.39999999999999986,feature_noise
1.0,7,12.0,11.0,0.012448226412137348,0.45,1.0,source_only,12,4,1.0,feature_noise
1.0,7,12.0,11.0,0.01273396611213684,0.45,0.425771119888885,full_method,12,4,0.39999999999999986,feature_noise
1.0,7,12.0,11.0,0.012735257546106974,0.45,0.43030014214454154,no_degree_prior,12,4,0.39999999999999986,feature_noise
1.0,8,13.0,12.0,0.008947134017944336,0.45,1.0,source_only,13,4,1.0,feature_noise
1.0,8,13.0,12.0,0.008318483829498291,0.45,0.425771119888885,full_method,13,4,0.39999999999999986,feature_noise
1.0,8,13.0,12.0,0.008302152156829834,0.45,0.43030014214454154,no_degree_prior,13,4,0.39999999999999986,feature_noise
1.0,9,20.0,13.0,0.007952487468719483,0.45,1.0,source_only,15,4,1.0,feature_noise
1.0,9,20.0,13.0,0.006917417049407959,0.45,0.425771119888885,full_method,15,4,0.39999999999999986,feature_noise
1.0,9,20.0,13.0,0.0069155097007751465,0.45,0.43030014214454154,no_degree_prior,15,4,0.39999999999999986,feature_noise
0.9,0,3.0,0.0,0.11049942374229431,0.35,1.0,source_only,20,4,1.0,edge_drop
0.9,0,3.0,0.0,0.10301151573657989,0.35,0.4203428065667257,full_method,20,4,0.39999999999999986,edge_drop
0.9,0,3.0,0.0,0.10305257439613341,0.35,0.431685576053089,no_degree_prior,20,4,0.39999999999999986,edge_drop
0.9615384615384616,1,4.0,3.0,0.0516236057648292,0.35,1.0,source_only,26,4,1.0,edge_drop
0.9615384615384616,1,4.0,3.0,0.05029612321120043,0.35,0.4203428065667257,full_method,26,4,0.39999999999999986,edge_drop
0.9615384615384616,1,4.0,3.0,0.05032305763317989,0.35,0.431685576053089,no_degree_prior,26,4,0.39999999999999986,edge_drop
0.9545454545454546,2,5.0,4.0,0.0860059220682491,0.35,1.0,source_only,22,4,1.0,edge_drop
0.9545454545454546,2,5.0,4.0,0.08105249838395553,0.35,0.4203428065667257,full_method,22,4,0.39999999999999986,edge_drop
0.9545454545454546,2,5.0,4.0,0.08113747293298895,0.35,0.431685576053089,no_degree_prior,22,4,0.39999999999999986,edge_drop
0.9565217391304348,4,6.0,5.0,0.039972574814506195,0.35,1.0,source_only,23,4,1.0,edge_drop
0.9565217391304348,4,6.0,5.0,0.04071301480998163,0.35,0.4203428065667257,full_method,23,4,0.39999999999999986,edge_drop
