accuracy,debiased,ece,intensity,method,n_bins,seed,shift
0.9575757575757575,True,0.0247026815318098,0.45,full_method,15,0,feature_noise
0.9575757575757575,False,0.04270058165897023,0.45,full_method,20,0,feature_noise
0.9575757575757575,True,0.04239755135593992,0.45,full_method,20,0,feature_noise
0.9575757575757575,False,0.03677736213712981,0.45,full_method,25,0,feature_noise
0.9575757575757575,True,0.03653493789470556,0.45,full_method,25,0,feature_noise
0.9333333333333333,False,0.039513626604369176,0.35,source_only,5,0,edge_drop
0.9333333333333333,True,0.03830150539224796,0.35,source_only,5,0,edge_drop
0.9333333333333333,False,0.04746436314149331,0.35,source_only,10,0,edge_drop
0.9333333333333333,True,0.04685830253543271,0.35,source_only,10,0,edge_drop
0.9333333333333333,False,0.04746427102522412,0.35,source_only,15,0,edge_drop
0.9333333333333333,True,0.04706023062118371,0.35,source_only,15,0,edge_drop
0.9333333333333333,False,0.047464235984917794,0.35,source_only,20,0,edge_drop
0.9333333333333333,True,0.04716120568188749,0.35,source_only,20,0,edge_drop
0.9333333333333333,False,0.04746432051514136,0.35,source_only,25,0,edge_drop
0.9333333333333333,True,0.04722189627271711,0.35,source_only,25,0,edge_drop
0.9333333333333333,False,0.039997847874959296,0.35,full_method,5,0,edge_drop
0.9333333333333333,True,0.03878572666283808,0.35,full_method,5,0,edge_drop
0.9333333333333333,False,0.04784223527619328,0.35,full_method,10,0,edge_drop
0.9333333333333333,True,0.04723617467013268,0.35,full_method,10,0,edge_drop
0.9333333333333333,False,0.04784220601573138,0.35,full_method,15,0,edge_drop
0.9333333333333333,True,0.04743816561169097,0.35,full_method,15,0,edge_drop
0.9333333333333333,False,0.04784216049945718,0.35,full_method,20,0,edge_drop
0.9333333333333333,True,0.047539130196426874,0.35,full_method,20,0,edge_drop
0.9333333333333333,False,0.053584897518157974,0.35,full_method,25,0,edge_drop
0.9333333333333333,True,0.05334247327573373,0.35,full_method,25,0,edge_drop
0.9636363636363636,False,0.025689750006704613,0.35,source_only,5,0,edge_add
0.9636363636363636,True,0.0244776287945834,0.35,source_only,5,0,edge_add
0.9636363636363636,False,0.025689753257867057,0.35,source_only,10,0,edge_add
0.9636363636363636,True,0.02508369265180645,0.35,source_only,10,0,edge_add
0.9636363636363636,False,0.03307623068491618,0.35,source_only,15,0,edge_add
0.9636363636363636,True,0.03267219028087577,0.35,source_only,15,0,edge_add
0.9636363636363636,False,0.03645139174027877,0.35,source_only,20,0,edge_add
0.9636363636363636,True,0.036148361437248464,0.35,source_only,20,0,edge_add
0.9636363636363636,False,0.04625410672390099,0.35,source_only,25,0,edge_add
0.9636363636363636,True,0.046011682481476746,0.35,source_only,25,0,edge_add
0.9636363636363636,False,0.024467986280267855,0.35,full_method,5,0,edge_add
0.9636363636363636,True,0.02325586506814664,0.35,full_method,5,0,edge_add
0.9636363636363636,False,0.028810074473872325,0.35,full_method,10,0,edge_add
0.9636363636363636,True,0.02820401386781172,0.35,full_method,10,0,edge_add
0.9636363636363636,False,0.04912585598049742,0.35,full_method,15,0,edge_add
0.9636363636363636,True,0.048721815576457016,0.35,full_method,15,0,edge_add
