accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.0962962962962963,texas,,0.3179576228699458,0.06093189964157706,0.1,entropy_all_nodes,1.3268412210412701,4,edge_drop
0.0962962962962963,texas,False,0.3205179104580932,0.06093189964157706,0.1,full_method,1.3310523547224327,4,edge_drop
0.1037037037037037,texas,,0.2956819706958781,0.06093189964157706,0.05,source_only,1.3104367783482387,4,edge_add
0.1037037037037037,texas,,0.30129867866418647,0.06093189964157706,0.05,entropy_all_nodes,1.320541766287272,4,edge_add
0.1037037037037037,texas,False,0.3042688352729181,0.06093189964157706,0.05,full_method,1.32541912378592,4,edge_add
0.5476190476190477,cornell,,0.21069030837388514,0.12274368231046931,0.0,source_only,1.366584440191555,0,clean
0.5555555555555556,cornell,,0.21554438887420846,0.12274368231046931,0.0,entropy_all_nodes,1.360044426543741,0,clean
0.5555555555555556,cornell,False,0.21414162100406697,0.12274368231046931,0.0,full_method,1.3571926983070919,0,clean
0.19047619047619047,cornell,,0.42252851044001066,0.12274368231046931,0.1,source_only,3.121279647441831,0,feature_noise
0.19047619047619047,cornell,,0.4288658407309718,0.12274368231046931,0.1,entropy_all_nodes,3.151641401909132,0,feature_noise
0.19047619047619047,cornell,False,0.43177131868182306,0.12274368231046931,0.1,full_method,3.1625312168484583,0,feature_noise
0.5634920634920635,cornell,,0.20525919079520832,0.12274368231046931,0.1,source_only,1.3554073448135144,0,edge_drop
0.5714285714285714,cornell,,0.21041851509915577,0.12274368231046931,0.1,entropy_all_nodes,1.3483089695524904,0,edge_drop
0.5714285714285714,cornell,False,0.2021539382657594,0.12274368231046931,0.1,full_method,1.3461859232339977,0,edge_drop
0.5555555555555556,cornell,,0.22900338735891543,0.12274368231046931,0.05,source_only,1.3705407796261428,0,edge_add
0.5634920634920635,cornell,,0.24217232336804984,0.12274368231046931,0.05,entropy_all_nodes,1.364138326422915,0,edge_add
0.5634920634920635,cornell,False,0.23230007086843252,0.12274368231046931,0.05,full_method,1.3613344496993016,0,edge_add
0.29365079365079366,cornell,,0.13484908408071464,0.12274368231046931,0.0,source_only,1.492047413273301,1,clean
0.29365079365079366,cornell,,0.13022352376916568,0.12274368231046931,0.0,entropy_all_nodes,1.4897031822041538,1,clean
0.29365079365079366,cornell,False,0.13852947242768984,0.12274368231046931,0.0,full_method,1.4889681764663523,1,clean
0.24603174603174602,cornell,,0.2837456564529877,0.12274368231046931,0.1,source_only,1.8240652861130544,1,feature_noise
0.23809523809523808,cornell,,0.2978379036036627,0.12274368231046931,0.1,entropy_all_nodes,1.8383793241680233,1,feature_noise
0.23809523809523808,cornell,False,0.29910996667833034,0.12274368231046931,0.1,full_method,1.8415654223893176,1,feature_noise
0.30158730158730157,cornell,,0.15932403287818608,0.12274368231046931,0.1,source_only,1.536436067019485,1,edge_drop
0.30158730158730157,cornell,,0.15988633232938146,0.12274368231046931,0.1,entropy_all_nodes,1.5340457999478763,1,edge_drop
0.30158730158730157,cornell,False,0.17633354137896862,0.12274368231046931,0.1,full_method,1.533363535368875,1,edge_drop
0.29365079365079366,cornell,,0.15020718132523844,0.12274368231046931,0.05,source_only,1.4802565134290733,1,edge_add
0.29365079365079366,cornell,,0.13625170615279902,0.12274368231046931,0.05,entropy_all_nodes,1.4778733113884437,1,edge_add
0.29365079365079366,cornell,False,0.12954450934895212,0.12274368231046931,0.05,full_method,1.4772583724861472,1,edge_add
0.5079365079365079,cornell,,0.18611659409651887,0.12274368231046931,0.0,source_only,1.3665742634799944,2,clean
0.49206349206349204,cornell,,0.16683627670208384,0.12274368231046931,0.0,entropy_all_nodes,1.3609741296022302,2,clean
0.49206349206349204,cornell,False,0.16554232901150503,0.12274368231046931,0.0,full_method,1.3594390474199496,2,clean
0.2619047619047619,cornell,,0.3305946674000228,0.12274368231046931,0.1,source_only,2.0965071712892596,2,feature_noise
0.2698412698412698,cornell,,0.33744558341537756,0.12274368231046931,0.1,entropy_all_nodes,2.0976136872107247,2,feature_noise
0.2698412698412698,cornell,False,0.33857539232798406,0.12274368231046931,0.1,full_method,2.100738595563325,2,feature_noise
0.49206349206349204,cornell,,0.16778742605453845,0.12274368231046931,0.1,source_only,1.3616591442205452,2,edge_drop
0.5,cornell,,0.1721510411356097,0.12274368231046931,0.1,entropy_all_nodes,1.3559503213383215,2,edge_drop
0.5,cornell,False,0.1757003563635612,0.12274368231046931,0.1,full_method,1.3551838866244839,2,edge_drop
0.5079365079365079,cornell,,0.18418115468172985,0.12274368231046931,0.05,source_only,1.3598800361964212,2,edge_add
0.48412698412698413,cornell,,0.15674641891096244,0.12274368231046931,0.05,entropy_all_nodes,1.353967478835835,2,edge_add
0.47619047619047616,cornell,False,0.14764302962376497,0.12274368231046931,0.05,full_method,1.3524036251547313,2,edge_add
0.42063492063492064,cornell,,0.17775234685816538,0.12274368231046931,0.0,source_only,1.397787934432425,3,clean
0.42063492063492064,cornell,,0.1792076689545241,0.12274368231046931,0.0,entropy_all_nodes,1.39835619061821,3,clean
0.4126984126984127,cornell,False,0.17848242013773954,0.12274368231046931,0.0,full_method,1.400663219329418,3,clean
0.1746031746031746,cornell,,0.29132703303199026,0.12274368231046931,0.1,source_only,1.9985926361962565,3,feature_noise
0.1746031746031746,cornell,,0.292497954715036,0.12274368231046931,0.1,entropy_all_nodes,2.0080275194955406,3,feature_noise
