accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.5636363636363636,0.5484237428609158,synthetic,,0.11662964784828565,0.5,0.5551020408163265,matcha_full,0.9301811411188865,0.10217650001868606,2,homophily_shift
0.6060606060606061,0.556925250110886,synthetic,,0.14221760527765814,0.5,0.6011361716182737,gtrans_full,0.9618213978600357,0.040274000028148293,2,homophily_shift
0.6,0.5358432455592205,synthetic,False,0.1072080846355198,0.5,0.5960829779727418,full_method,0.9030383994814808,0.2617170000448823,2,homophily_shift
0.78,0.3417310621940578,cora,,0.06356245236456323,0.0,0.7717643184157226,source_only,0.7387554643625861,0.0,0,clean
0.781,0.3537148560395004,cora,,0.09815786379178336,0.0,0.7708822900797893,tent_full,0.8517007505680229,0.9324255000101402,0,clean
0.776,0.35547952132248156,cora,,0.09339330059701015,0.0,0.7679024834205718,eata_full,0.8514695815220612,1.6855474000331014,0,clean
0.779,0.3351626178795095,cora,,0.04990225762963876,0.0,0.7691256865472637,matcha_full,0.7254450004181637,1.1843803999945521,0,clean
0.781,0.4282137451086659,cora,,0.21206082460554218,0.0,0.771450067971571,gtrans_full,1.4976877335711445,4.774131599930115,0,clean
0.778,0.33406241397205527,cora,False,0.04668537932153708,0.0,0.767710701787167,full_method,0.7220092220048575,9.258625900023617,0,clean
0.238,1.3672946545310456,cora,,0.6522626613029379,0.1,0.20797735968394854,source_only,8.942256631846618,0.0,0,feature_noise
0.243,1.001333535180228,cora,,0.3326211384911016,0.1,0.1930690792150474,tent_full,2.5174801178046464,0.8797556000063196,0,feature_noise
0.241,1.0057661592391902,cora,,0.3410178840860655,0.1,0.1897533471899371,eata_full,2.533915611725265,1.6014739000238478,0,feature_noise
0.24,1.3784449317682583,cora,,0.6606928918616478,0.1,0.2038791320860657,matcha_full,9.275479187838112,1.2674124999903142,0,feature_noise
0.245,0.9928143069777772,cora,,0.3089944428125089,0.1,0.20401880225440167,gtrans_full,2.48096047834228,4.608227799995802,0,feature_noise
0.236,1.3781120814605206,cora,False,0.6621146599904838,0.1,0.19688893711916597,full_method,9.160154930738939,9.747369099990465,0,feature_noise
0.766,0.356021429658829,cora,,0.054935163073761506,0.15,0.7578942223964766,source_only,0.7807311878227472,0.0,0,edge_drop
0.764,0.37047697255340895,cora,,0.10847464560724646,0.15,0.7560039873205532,tent_full,0.9148609585163843,1.3474564999341965,0,edge_drop
0.762,0.37230694287479843,cora,,0.10479026184887552,0.15,0.7539673815198611,eata_full,0.91450657891478,2.355570900021121,0,edge_drop
0.763,0.34943265257442757,cora,,0.04807266066792951,0.15,0.7539299662436889,matcha_full,0.7692855292691338,1.6762653000187129,0,edge_drop
0.765,0.46031924850681355,cora,,0.22807656346123592,0.15,0.7570734148783371,gtrans_full,1.6817143827937304,8.122353799990378,0,edge_drop
0.764,0.3484368557564532,cora,False,0.04361087213438448,0.15,0.7544569215858506,full_method,0.7661851125421112,13.274784500012174,0,edge_drop
0.781,0.3394491253400348,cora,,0.05739444803164966,0.0,0.7746194484859903,source_only,0.7544522502451337,0.0,1,clean
0.781,0.34972736161318735,cora,,0.1082489426803722,0.0,0.7747008973678858,tent_full,0.8881092148045402,0.8892506000120193,1,clean
0.781,0.3506855355376549,cora,,0.11093582515506921,0.0,0.7747223240101476,eata_full,0.8827063103965762,1.6004287999821827,1,clean
0.784,0.33586597209577,cora,,0.06800630103887484,0.0,0.7756603572644452,matcha_full,0.7507833416215114,1.1722597999032587,1,clean
0.788,0.41390988952017344,cora,,0.2055722150881954,0.0,0.7851332886826666,gtrans_full,1.4634370289841592,4.781352499965578,1,clean
0.785,0.33429754757263086,cora,False,0.060429710674222356,0.0,0.7769120247039042,full_method,0.7472293982285659,8.918709699995816,1,clean
0.254,1.3812724780903523,cora,,0.6642140970154697,0.1,0.1967693571937384,source_only,10.325309580391137,0.0,1,feature_noise
0.268,1.0120630794604757,cora,,0.3328615602621071,0.1,0.18764775625617752,tent_full,2.6577797924940487,0.8847976999823004,1,feature_noise
0.266,1.0140586490790797,cora,,0.345446973311833,0.1,0.18332327618910843,eata_full,2.677172614329842,1.5099921999499202,1,feature_noise
0.268,1.3629588857003956,cora,,0.660250509263004,0.1,0.1808414147884289,matcha_full,10.592646137896539,1.1987754999427125,1,feature_noise
0.259,1.0090684748997105,cora,,0.31982150231635537,0.1,0.19996870762513147,gtrans_full,2.597580879268951,4.439781300025061,1,feature_noise
0.257,1.3787451895255436,cora,False,0.6661922126162113,0.1,0.17939231609309367,full_method,10.604927084068008,8.710609899950214,1,feature_noise
0.774,0.352962203915135,cora,,0.065602028424175,0.15,0.7672481969943638,source_only,0.7893568920393238,0.0,1,edge_drop
0.777,0.36206414084206767,cora,,0.10043588420542851,0.15,0.7733210286778193,tent_full,0.9246271554306774,0.8019175999797881,1,edge_drop
0.775,0.36385766923348284,cora,,0.10758488090311202,0.15,0.7717575003559674,eata_full,0.920321782437244,1.622414999990724,1,edge_drop
0.776,0.3489136399065076,cora,,0.07327433495392616,0.15,0.7689462641618109,matcha_full,0.786767153762963,1.2110196000430733,1,edge_drop
0.784,0.42499585441397253,cora,,0.2108201959774609,0.15,0.7820508219842519,gtrans_full,1.5560781892392515,4.639435100019909,1,edge_drop
0.779,0.3470386251756744,cora,False,0.06779292496243418,0.15,0.7710648965254289,full_method,0.7826866173000626,9.52321400004439,1,edge_drop
0.784,0.3237089786972842,cora,,0.05350410955022764,0.0,0.7781274514409564,source_only,0.7259031418486054,0.0,2,clean
0.788,0.33144112041780865,cora,,0.08858913278957203,0.0,0.7817059726224994,tent_full,0.8558847061258569,0.973594699986279,2,clean
0.79,0.3334194849132389,cora,,0.08664755266015038,0.0,0.7835000456068781,eata_full,0.8541600421745354,2.2065739000681788,2,clean
0.791,0.3170304222585074,cora,,0.05136992676219706,0.0,0.7841012728293321,matcha_full,0.7122057830365466,1.9653249999973923,2,clean
0.797,0.39962478982316274,cora,,0.19768337202827752,0.0,0.7906024559952313,gtrans_full,1.4950165642212505,9.593669699970633,2,clean
0.793,0.31667701235661555,cora,False,0.0539794174247919,0.0,0.7859120121308365,full_method,0.7110383777906746,15.888456600019708,2,clean
0.234,1.3926583894619107,cora,,0.6661298850802602,0.1,0.21627884227475636,source_only,9.861440150078748,0.0,2,feature_noise
0.258,1.0181997069605764,cora,,0.3424465344710458,0.1,0.21807526690264417,tent_full,2.7915083414979334,1.6684071999043226,2,feature_noise
0.256,1.0190914085209475,cora,,0.3479750216482281,0.1,0.21476023234079764,eata_full,2.798397872314464,2.6010876999935135,2,feature_noise
0.229,1.3958187450120534,cora,,0.6711608358037595,0.1,0.2054872036470719,matcha_full,9.987374083852224,1.2850608000298962,2,feature_noise
0.253,1.0077779327914882,cora,,0.3316485612010615,0.1,0.21788541034846395,gtrans_full,2.730593438357081,7.103346999967471,2,feature_noise
0.233,1.3995974400860483,cora,False,0.671660256681184,0.1,0.21140843474185697,full_method,10.028274417764832,10.627404700033367,2,feature_noise
0.772,0.3485340207906827,cora,,0.062098410563562086,0.15,0.7636466455275183,source_only,0.7971171376500948,0.0,2,edge_drop
0.775,0.3578908814582444,cora,,0.10390794958962535,0.15,0.7671367045586933,tent_full,0.9570103795218344,1.0177646999945864,2,edge_drop
0.772,0.3605564574511144,cora,,0.09925524833725424,0.15,0.7629935823974993,eata_full,0.9551852083649816,2.0534917999757454,2,edge_drop
