accuracy,detector_triggered,ece,intensity,method,nll,seed,shift,step,stream
0.9333333333333333,,0.03011280670762062,0.05,source_only,0.14781726896762848,4,edge_drop,0,edge_perturb_stream
0.9333333333333333,,0.033858690162499754,0.05,entropy_all_nodes,0.1437089741230011,4,edge_drop,0,edge_perturb_stream
0.9333333333333333,False,0.03388820439577103,0.05,full_method,0.1458698958158493,4,edge_drop,0,edge_perturb_stream
0.925,,0.04681493913133941,0.05,source_only,0.14208544790744781,4,edge_add,1,edge_perturb_stream
0.95,,0.0407149292528629,0.05,entropy_all_nodes,0.13216954469680786,4,edge_add,1,edge_perturb_stream
0.9416666666666667,False,0.029670713841915154,0.05,full_method,0.13863162696361542,4,edge_add,1,edge_perturb_stream
0.9416666666666667,,0.035991493860880526,0.1,source_only,0.14910754561424255,4,edge_drop,2,edge_perturb_stream
0.9333333333333333,,0.03867679884036379,0.1,entropy_all_nodes,0.13799600303173065,4,edge_drop,2,edge_perturb_stream
0.9333333333333333,False,0.05524191980560619,0.1,full_method,0.1450074166059494,4,edge_drop,2,edge_perturb_stream
0.9333333333333333,,0.03174961308638252,0.1,source_only,0.17063570022583008,4,edge_add,3,edge_perturb_stream
0.95,,0.04184559533993403,0.1,entropy_all_nodes,0.15162107348442078,4,edge_add,3,edge_perturb_stream
0.9333333333333333,False,0.028097231189409905,0.1,full_method,0.16179285943508148,4,edge_add,3,edge_perturb_stream
0.9166666666666666,,0.029790805776913926,0.15,source_only,0.18311697244644165,4,edge_drop,4,edge_perturb_stream
0.925,,0.04359945754210151,0.15,entropy_all_nodes,0.16239424049854279,4,edge_drop,4,edge_perturb_stream
0.925,False,0.042201252281665796,0.15,full_method,0.17503659427165985,4,edge_drop,4,edge_perturb_stream
0.9666666666666667,,0.038832343618075055,0.1,source_only,0.1268918663263321,0,homophily_shift,0,homophily_drift_stream
0.9583333333333334,,0.03548384308815002,0.1,entropy_all_nodes,0.12495888024568558,0,homophily_shift,0,homophily_drift_stream
0.9666666666666667,False,0.03641513412197431,0.1,full_method,0.1254289299249649,0,homophily_shift,0,homophily_drift_stream
0.875,,0.08241806104779241,0.2,source_only,0.30363214015960693,0,homophily_shift,1,homophily_drift_stream
0.8916666666666667,,0.05176571756601336,0.2,entropy_all_nodes,0.29353851079940796,0,homophily_shift,1,homophily_drift_stream
0.9,False,0.08255673696597418,0.2,full_method,0.2982761263847351,0,homophily_shift,1,homophily_drift_stream
0.7583333333333333,,0.14294355611006418,0.3,source_only,0.6889580488204956,0,homophily_shift,2,homophily_drift_stream
0.75,,0.11283534069856006,0.3,entropy_all_nodes,0.673341691493988,0,homophily_shift,2,homophily_drift_stream
0.7583333333333333,False,0.12147054498394329,0.3,full_method,0.6795054078102112,0,homophily_shift,2,homophily_drift_stream
0.6583333333333333,,0.15886309891939165,0.4,source_only,0.9659368991851807,0,homophily_shift,3,homophily_drift_stream
0.6666666666666666,,0.17605727761983872,0.4,entropy_all_nodes,0.9668483138084412,0,homophily_shift,3,homophily_drift_stream
0.65,False,0.18763842334349948,0.4,full_method,0.9940000176429749,0,homophily_shift,3,homophily_drift_stream
0.6166666666666667,,0.16391513993342718,0.5,source_only,0.9984484314918518,0,homophily_shift,4,homophily_drift_stream
0.6083333333333333,,0.17136219441890715,0.5,entropy_all_nodes,1.051938533782959,0,homophily_shift,4,homophily_drift_stream
0.5583333333333333,False,0.21738530695438385,0.5,full_method,1.1447830200195312,0,homophily_shift,4,homophily_drift_stream
0.95,,0.032226781547069525,0.1,source_only,0.13072212040424347,1,homophily_shift,0,homophily_drift_stream
0.95,,0.0358337064584096,0.1,entropy_all_nodes,0.13159961998462677,1,homophily_shift,0,homophily_drift_stream
0.95,False,0.03642568935950594,0.1,full_method,0.13091425597667694,1,homophily_shift,0,homophily_drift_stream
0.9166666666666666,,0.04092236111561461,0.2,source_only,0.2359652817249298,1,homophily_shift,1,homophily_drift_stream
0.925,,0.056715505073467926,0.2,entropy_all_nodes,0.22820167243480682,1,homophily_shift,1,homophily_drift_stream
0.925,False,0.051740418622891145,0.2,full_method,0.23291797935962677,1,homophily_shift,1,homophily_drift_stream
0.8333333333333334,,0.07272528757651647,0.3,source_only,0.3841187655925751,1,homophily_shift,2,homophily_drift_stream
0.8333333333333334,,0.05262297565738362,0.3,entropy_all_nodes,0.3854154050350189,1,homophily_shift,2,homophily_drift_stream
0.8333333333333334,False,0.0786042315264543,0.3,full_method,0.38364356756210327,1,homophily_shift,2,homophily_drift_stream
0.7083333333333334,,0.14825498610734938,0.4,source_only,0.7334462404251099,1,homophily_shift,3,homophily_drift_stream
0.7083333333333334,,0.1481046398480733,0.4,entropy_all_nodes,0.7425122857093811,1,homophily_shift,3,homophily_drift_stream
0.7166666666666667,False,0.14505237092574438,0.4,full_method,0.7443878054618835,1,homophily_shift,3,homophily_drift_stream
0.6416666666666667,,0.1604693961640199,0.5,source_only,0.8779653906822205,1,homophily_shift,4,homophily_drift_stream
0.6416666666666667,,0.18291994929313662,0.5,entropy_all_nodes,0.9034056067466736,1,homophily_shift,4,homophily_drift_stream
0.6333333333333333,False,0.16170243372519813,0.5,full_method,0.8961086869239807,1,homophily_shift,4,homophily_drift_stream
0.9416666666666667,,0.05250094185272855,0.1,source_only,0.16445942223072052,2,homophily_shift,0,homophily_drift_stream
0.9416666666666667,,0.04884149283170697,0.1,entropy_all_nodes,0.16309328377246857,2,homophily_shift,0,homophily_drift_stream
0.9416666666666667,False,0.05224181115627286,0.1,full_method,0.16360196471214294,2,homophily_shift,0,homophily_drift_stream
0.8916666666666667,,0.04309190611044563,0.2,source_only,0.32434985041618347,2,homophily_shift,1,homophily_drift_stream
0.8916666666666667,,0.05054174711306887,0.2,entropy_all_nodes,0.3271571695804596,2,homophily_shift,1,homophily_drift_stream
0.8916666666666667,False,0.05601994097232817,0.2,full_method,0.3263379633426666,2,homophily_shift,1,homophily_drift_stream
0.775,,0.1342988674839338,0.3,source_only,0.5401839017868042,2,homophily_shift,2,homophily_drift_stream
