delta_self,delta_tolerance,deployed_acc,intensity,no_detector_acc,phi_tolerance,regime,seed,setting,shift,source_acc,trigger_step,triggered
0.00016943941116333007,0.02,0.9696969696969697,0.35,0.9696969696969697,0.1,in_envelope,1,safety,degree_shift,0.9696969696969697,,False
0.00016943941116333007,0.05,0.9696969696969697,0.35,0.9696969696969697,0.2,in_envelope,1,balanced,degree_shift,0.9696969696969697,,False
0.00016943941116333007,0.2,0.9696969696969697,0.35,0.9696969696969697,0.5,in_envelope,1,aggressive,degree_shift,0.9696969696969697,,False
0.00016943941116333007,0.00033887882232666014,0.9696969696969697,0.35,0.9696969696969697,0.2,in_envelope,1,auto,degree_shift,0.9696969696969697,,False
0.00016943941116333007,0.02,0.6060606060606061,0.5,0.6060606060606061,0.1,out_envelope,1,safety,homophily_shift,0.6060606060606061,,False
0.00016943941116333007,0.05,0.6060606060606061,0.5,0.6060606060606061,0.2,out_envelope,1,balanced,homophily_shift,0.6060606060606061,,False
0.00016943941116333007,0.2,0.6060606060606061,0.5,0.6060606060606061,0.5,out_envelope,1,aggressive,homophily_shift,0.6060606060606061,,False
0.00016943941116333007,0.00033887882232666014,0.6,0.5,0.6060606060606061,0.2,out_envelope,1,auto,homophily_shift,0.6060606060606061,2,True
0.000210169251759847,0.02,0.9878787878787879,0.0,0.9878787878787879,0.1,in_envelope,2,safety,clean,0.9878787878787879,,False
0.000210169251759847,0.05,0.9878787878787879,0.0,0.9878787878787879,0.2,in_envelope,2,balanced,clean,0.9878787878787879,,False
0.000210169251759847,0.2,0.9878787878787879,0.0,0.9878787878787879,0.5,in_envelope,2,aggressive,clean,0.9878787878787879,,False
0.000210169251759847,0.000420338503519694,0.9878787878787879,0.0,0.9878787878787879,0.2,in_envelope,2,auto,clean,0.9878787878787879,,False
0.000210169251759847,0.02,0.9939393939393939,0.45,0.9939393939393939,0.1,in_envelope,2,safety,feature_noise,0.9939393939393939,,False
0.000210169251759847,0.05,0.9939393939393939,0.45,0.9939393939393939,0.2,in_envelope,2,balanced,feature_noise,0.9939393939393939,,False
0.000210169251759847,0.2,0.9939393939393939,0.45,0.9939393939393939,0.5,in_envelope,2,aggressive,feature_noise,0.9939393939393939,,False
0.000210169251759847,0.000420338503519694,0.9939393939393939,0.45,0.9939393939393939,0.2,in_envelope,2,auto,feature_noise,0.9939393939393939,44,True
0.000210169251759847,0.02,0.9636363636363636,0.35,0.9636363636363636,0.1,in_envelope,2,safety,edge_drop,0.9636363636363636,,False
0.000210169251759847,0.05,0.9636363636363636,0.35,0.9636363636363636,0.2,in_envelope,2,balanced,edge_drop,0.9636363636363636,,False
0.000210169251759847,0.2,0.9636363636363636,0.35,0.9636363636363636,0.5,in_envelope,2,aggressive,edge_drop,0.9636363636363636,,False
0.000210169251759847,0.000420338503519694,0.9636363636363636,0.35,0.9636363636363636,0.2,in_envelope,2,auto,edge_drop,0.9636363636363636,,False
0.000210169251759847,0.02,0.9696969696969697,0.35,0.9696969696969697,0.1,in_envelope,2,safety,edge_add,0.9696969696969697,,False
0.000210169251759847,0.05,0.9696969696969697,0.35,0.9696969696969697,0.2,in_envelope,2,balanced,edge_add,0.9696969696969697,,False
0.000210169251759847,0.2,0.9696969696969697,0.35,0.9696969696969697,0.5,in_envelope,2,aggressive,edge_add,0.9696969696969697,,False
0.000210169251759847,0.000420338503519694,0.9696969696969697,0.35,0.9696969696969697,0.2,in_envelope,2,auto,edge_add,0.9696969696969697,10,True
0.000210169251759847,0.02,0.9878787878787879,0.35,0.9878787878787879,0.1,in_envelope,2,safety,degree_shift,0.9878787878787879,,False
0.000210169251759847,0.05,0.9878787878787879,0.35,0.9878787878787879,0.2,in_envelope,2,balanced,degree_shift,0.9878787878787879,,False
0.000210169251759847,0.2,0.9878787878787879,0.35,0.9878787878787879,0.5,in_envelope,2,aggressive,degree_shift,0.9878787878787879,,False
0.000210169251759847,0.000420338503519694,0.9878787878787879,0.35,0.9878787878787879,0.2,in_envelope,2,auto,degree_shift,0.9878787878787879,,False
