accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.30158730158730157,cornell,,0.30194439135846635,0.12274368231046931,0.1,source_only,2.195571184158325,1,feature_noise
0.31746031746031744,cornell,,0.29666296097021255,0.12274368231046931,0.1,entropy_all_nodes,2.205841541290283,1,feature_noise
0.3333333333333333,cornell,False,0.28115093116722406,0.12274368231046931,0.1,full_method,2.208514451980591,1,feature_noise
0.3968253968253968,cornell,,0.13160037190195112,0.12274368231046931,0.1,source_only,1.501778244972229,1,edge_drop
0.3968253968253968,cornell,,0.13947270621382998,0.12274368231046931,0.1,entropy_all_nodes,1.4958082437515259,1,edge_drop
0.4126984126984127,cornell,False,0.1651525570759697,0.12274368231046931,0.1,full_method,1.4911506175994873,1,edge_drop
0.3888888888888889,cornell,,0.07473244766394298,0.12274368231046931,0.05,source_only,1.4686832427978516,1,edge_add
0.3888888888888889,cornell,,0.07330627715776837,0.12274368231046931,0.05,entropy_all_nodes,1.4623750448226929,1,edge_add
0.3888888888888889,cornell,False,0.08241602731129481,0.12274368231046931,0.05,full_method,1.457295536994934,1,edge_add
0.42063492063492064,cornell,,0.11653051679096522,0.12274368231046931,0.0,source_only,1.5260881185531616,2,clean
0.4126984126984127,cornell,,0.10893640868247499,0.12274368231046931,0.0,entropy_all_nodes,1.5256680250167847,2,clean
0.42857142857142855,cornell,False,0.12492683175064268,0.12274368231046931,0.0,full_method,1.527482509613037,2,clean
0.20634920634920634,cornell,,0.3809722949351583,0.12274368231046931,0.1,source_only,2.7534921169281006,2,feature_noise
0.20634920634920634,cornell,,0.3850432634353637,0.12274368231046931,0.1,entropy_all_nodes,2.780008316040039,2,feature_noise
0.20634920634920634,cornell,False,0.3864815011620521,0.12274368231046931,0.1,full_method,2.798570156097412,2,feature_noise
0.42857142857142855,cornell,,0.12860359109583355,0.12274368231046931,0.1,source_only,1.5308659076690674,2,edge_drop
0.42857142857142855,cornell,,0.12814431814920335,0.12274368231046931,0.1,entropy_all_nodes,1.5308489799499512,2,edge_drop
0.42857142857142855,cornell,False,0.12934167233724442,0.12274368231046931,0.1,full_method,1.5336605310440063,2,edge_drop
0.46825396825396826,cornell,,0.16678545659496669,0.12274368231046931,0.05,source_only,1.5256998538970947,2,edge_add
0.46825396825396826,cornell,,0.16618251043652732,0.12274368231046931,0.05,entropy_all_nodes,1.5250577926635742,2,edge_add
0.47619047619047616,cornell,False,0.175078689105927,0.12274368231046931,0.05,full_method,1.5270090103149414,2,edge_add
0.31746031746031744,cornell,,0.1332718065333745,0.12274368231046931,0.0,source_only,1.3878592252731323,3,clean
0.30952380952380953,cornell,,0.13096376094553205,0.12274368231046931,0.0,entropy_all_nodes,1.388582468032837,3,clean
0.30952380952380953,cornell,False,0.11350336741833457,0.12274368231046931,0.0,full_method,1.3933218717575073,3,clean
0.23015873015873015,cornell,,0.34804189772832955,0.12274368231046931,0.1,source_only,2.4280643463134766,3,feature_noise
0.2222222222222222,cornell,,0.36858895231807043,0.12274368231046931,0.1,entropy_all_nodes,2.469292402267456,3,feature_noise
0.2222222222222222,cornell,False,0.3725947818112752,0.12274368231046931,0.1,full_method,2.48577618598938,3,feature_noise
