dataset,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
texas,edge_drop,0.1,matcha_reliable,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082571384552464,0.00020216804444117553,0.027780262423202556,0.015007277008323244,0.7995209450299867,9.057281846586163e-05,0.014491850000922568,0.0008821500086924061,5.0,0.0,0.5027322404371585,0.0,0.5027322404371585,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,reliable_entropy,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.60825715838739,0.00020216706809061957,0.02777974979352403,0.015007940423905616,0.7995209534282863,9.057136325180126e-05,0.01485819999652449,0.0001508999994257465,5.0,0.0,0.4202204881339323,0.006524155344540095,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,no_neighborhood_agreement,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.608257134630329,0.00020211310112672187,0.027779693885798207,0.015007070947432172,0.7995209423592481,9.055163794591259e-05,0.008724299987079576,0.0007945999968796968,5.0,0.0,0.4457538110939684,0.00045404045252039893,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,no_structural_stability,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082571583872154,0.0002021670682256227,0.027779749794705363,0.015007940422228347,0.7995209534282124,9.0571363310199e-05,0.008594600018113852,0.0009165999945253134,5.0,0.0,0.42022061990546666,0.006524118324493872,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,no_calibration_loss,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.608257158387362,0.00020216706811326812,0.02777974979366253,0.015007940423734836,0.7995209534282743,9.057136326151571e-05,0.013441100003547035,9.470000804867595e-05,5.0,0.0,0.4202204881339344,0.006524155344541788,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,no_anti_forgetting,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082571580412948,0.00020216675383188942,0.02777975717865422,0.01500792474760898,0.7995209532694483,9.057127036926627e-05,0.01378415001090616,0.0003297500079497695,5.0,0.0,0.42022048839266013,0.0065241556011955415,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,full_method,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.60825715838739,0.00020216706809061957,0.02777974979352403,0.015007940423905616,0.7995209534282863,9.057136325180126e-05,0.014210349982022308,0.00047574999916832894,5.0,0.0,0.4202204881339323,0.006524155344540095,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
texas,edge_add,0.1,source_only,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084344452629344,0.00018799773760580507,0.015353161993034464,0.01524216538685566,0.799594433654679,8.122839983010222e-05,1.7999846022576094e-06,0.0,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,entropy_all_nodes,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345216638898,0.0001873385932638083,0.015339731364028511,0.01523624050878393,0.7995944530615956,8.098284454083338e-05,0.002642899999045767,0.0001489999849582091,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,tent_entropy,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345217421947,0.00018733793247638353,0.015339717926416085,0.015236234580731423,0.7995944530817558,8.098259834543597e-05,0.0013495000021066517,6.749999010935426e-05,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,eata_filter,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084343574408746,0.0001873910253081812,0.015338878610669085,0.015235638950538491,0.7995943866678812,8.10046357294647e-05,0.013702449999982491,0.0007830500253476202,5.0,0.0,0.30819672131147546,0.0,0.30819672131147546,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,graph_tta_consistency,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084347821476332,0.00018729973114417486,0.01534069877997829,0.015236158758436869,0.7995945599187915,8.096410566393875e-05,0.02036594999663066,0.0001381499896524474,5.0,0.0,0.43218325299323634,0.0043133189580541464,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,matcha_reliable,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.608434604582877,0.00018732024843004513,0.015339167344699603,0.015235809497786176,0.7995944869664222,8.097536738044253e-05,0.015054400020744652,0.0005315000016707927,5.0,0.0,0.5027322404371585,0.0,0.5027322404371585,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,reliable_entropy,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345676988896,0.00018732522490838566,0.015339273204770423,0.01523594377689784,0.7995944717268912,8.09776584304589e-05,0.015979100004187785,0.0009871999936876819,5.0,0.0,0.4321832133037162,0.004313315073463053,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,no_neighborhood_agreement,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.608434530139812,0.00018725948903741685,0.015338220741046404,0.015235611403391414,0.7995944552580102,8.095322402756899e-05,0.008581000001868233,7.800001185387373e-06,5.0,0.0,0.43131017986029396,0.0074850188161155184,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,no_structural_stability,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345676988638,0.0001873252249225965,0.01533927320443465,0.015235943776599203,0.7995944717268801,8.097765843684268e-05,0.009059499992872588,0.0009070999949472025,5.0,0.0,0.43218318333100225,0.004313257666121256,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,no_calibration_loss,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345676988714,0.00018732522492281856,0.015339273204646592,0.015235943776798266,0.7995944717268836,8.097765843662064e-05,0.014234150003176183,0.0006012499798089266,5.0,0.0,0.43218321330371523,0.004313315073462193,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,no_anti_forgetting,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.608434567823318,0.00018732455068604104,0.015339259308852063,0.015235937552032328,0.7995944717657557,8.097740702001088e-05,0.013284600005135871,6.529998790938407e-05,5.0,0.0,0.4321832133019837,0.0043133149014464855,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
texas,edge_add,0.1,full_method,2,0.22043010752688175,0.016129032258064516,0.11010227867370725,0.008432519861091309,1.6084345676988896,0.00018732522490838566,0.015339273204770423,0.01523594377689784,0.7995944717268912,8.09776584304589e-05,0.014026999997440726,0.0004304000176489353,5.0,0.0,0.4321832133037162,0.004313315073463053,0.3989071038251366,0.0,183.0,0.0,1662.0,47.0
cornell,clean,0.0,source_only,2,0.21505376344086022,0.010752688172043001,0.11545184936489283,0.017356611269654758,1.6083921165279769,1.1959813110640205e-05,0.011664520176067908,0.009781570600196896,0.7995769749507955,1.5970355599081998e-06,1.8999999156221747e-06,2.0001607481390238e-07,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1460.0,36.0
